VaccinationDate,age_group,first_dose,second_dose,third_dose
2021-02-02,30-39,19990,3947,0
2021-02-02,40-49,13326,6359,0
2021-02-02,60-69,2903,4613,0
2021-02-02,50-59,6562,8857,0
2021-02-02,20-29,15774,2458,0
2021-02-02,70-79,1692,2656,0
2021-02-03,50-59,5771,21545,0
2021-02-03,30-39,17091,5202,0
2021-02-03,20-29,14721,3935,0
2021-02-03,60-69,2622,6497,0
2021-02-03,40-49,10649,8120,0
2021-02-03,70-79,1574,3477,0
2021-02-03,90+,237,308,0
2021-02-03,80-89,866,1632,0
2021-02-03,0-19,6696,655,0
2021-02-04,30-39,23233,7387,0
2021-02-04,60-69,2308,5588,0
2021-02-04,70-79,1204,2780,0
2021-02-04,0-19,6553,1437,0
2021-02-04,40-49,10522,10365,0
2021-02-04,20-29,22675,6221,0
2021-02-04,90+,142,239,0
2021-02-04,50-59,5261,22733,0
2021-02-04,80-89,645,1281,0
2021-02-05,20-29,9936,2556,0
2021-02-05,30-39,11311,4172,0
2021-02-05,90+,77,113,0
2021-02-05,70-79,546,1260,0
2021-02-05,50-59,2708,11437,0
2021-02-05,0-19,2754,524,0
2021-02-05,60-69,1083,2583,0
2021-02-05,40-49,5214,5523,0
2021-02-05,80-89,245,580,0
2021-02-06,90+,35,56,0
2021-02-06,80-89,143,265,0
2021-02-06,30-39,6940,2382,0
2021-02-06,70-79,267,635,0
2021-02-06,20-29,6980,1544,0
2021-02-06,40-49,3082,5497,0
2021-02-06,60-69,564,1431,0
2021-02-06,50-59,1628,10046,0
2021-02-06,0-19,1943,341,0
2021-02-07,20-29,16785,9272,0
2021-02-07,90+,166,226,0
2021-02-07,70-79,1123,2454,0
2021-02-07,0-19,4645,1828,0
2021-02-07,80-89,562,1178,0
2021-02-07,40-49,7781,18395,0
2021-02-07,30-39,16509,7408,0
2021-02-07,50-59,4370,23172,0
2021-02-07,60-69,2096,4742,0
2021-02-08,50-59,4491,16490,0
2021-02-08,80-89,569,927,0
2021-02-08,40-49,7839,19988,0
2021-02-08,0-19,4306,2587,0
2021-02-08,60-69,2111,4050,0
2021-02-08,70-79,1123,2025,0
2021-02-08,30-39,18061,6970,0
2021-02-08,20-29,19942,12191,0
2021-02-08,90+,136,163,0
2021-02-09,60-69,2575,3832,0
2021-02-09,50-59,5429,14198,0
2021-02-09,70-79,1259,1964,0
2021-02-09,0-19,5160,2701,0
2021-02-09,40-49,9121,23298,0
2021-02-09,30-39,19107,8349,0
2021-02-09,80-89,630,853,0
2021-02-09,20-29,22797,12097,0
2021-02-09,90+,205,189,0
2021-02-10,30-39,20629,11526,0
2021-02-10,40-49,9844,27831,0
2021-02-10,60-69,2714,3708,0
2021-02-10,90+,152,135,0
2021-02-10,70-79,1308,1851,0
2021-02-10,50-59,5756,13159,0
2021-02-10,20-29,24095,10817,0
2021-02-10,0-19,5408,2352,0
2021-02-10,80-89,576,828,0
2021-02-11,30-39,23203,13680,0
2021-02-11,0-19,6403,2293,0
2021-02-11,40-49,11897,26519,0
2021-02-11,20-29,27402,10580,0
2021-02-11,50-59,6840,11681,0
2021-02-11,90+,136,200,0
2021-02-11,60-69,3150,3941,0
2021-02-11,80-89,638,1011,0
2021-02-11,70-79,1416,2107,0
2021-02-12,40-49,5913,15142,0
2021-02-12,20-29,12980,3864,0
2021-02-12,30-39,11157,7817,0
2021-02-12,70-79,609,956,0
2021-02-12,60-69,1462,2117,0
2021-02-12,90+,61,102,0
2021-02-12,0-19,3093,1161,0
2021-02-12,80-89,287,483,0
2021-02-12,50-59,3479,5889,0
2021-02-13,20-29,9124,2376,0
2021-02-13,70-79,378,625,0
2021-02-13,30-39,7338,4644,0
2021-02-13,50-59,2595,5388,0
2021-02-13,0-19,2472,4049,0
2021-02-13,80-89,170,278,0
2021-02-13,60-69,1027,1313,0
2021-02-13,90+,26,72,0
2021-02-13,40-49,4291,11652,0
2021-02-14,0-19,6898,9915,0
2021-02-14,30-39,19921,11312,0
2021-02-14,80-89,718,957,0
2021-02-14,40-49,11650,21937,0
2021-02-14,70-79,1667,2018,0
2021-02-14,50-59,6971,8973,0
2021-02-14,90+,148,213,0
2021-02-14,60-69,3544,3676,0
2021-02-14,20-29,23337,10017,0
2021-02-15,40-49,12797,20508,0
2021-02-15,60-69,3870,4028,0
2021-02-15,0-19,7507,12381,0
2021-02-15,80-89,813,1043,0
2021-02-15,30-39,21546,12516,0
2021-02-15,90+,207,282,0
2021-02-15,20-29,25119,13214,0
2021-02-15,50-59,7858,9528,0
2021-02-15,70-79,1753,2134,0
2021-02-16,40-49,12697,19012,0
2021-02-16,70-79,1819,1971,0
2021-02-16,50-59,7606,8479,0
2021-02-16,90+,168,238,0
2021-02-16,80-89,773,970,0
2021-02-16,0-19,8486,14373,0
2021-02-16,30-39,21429,13742,0
2021-02-16,20-29,26552,15888,0
2021-02-16,60-69,3827,3535,0
2021-02-17,20-29,20651,15896,0
2021-02-17,50-59,5406,7961,0
2021-02-17,0-19,6350,15024,0
2021-02-17,70-79,970,1615,0
2021-02-17,30-39,15906,12866,0
2021-02-17,40-49,9767,18303,0
2021-02-17,90+,87,160,0
2021-02-17,80-89,373,722,0
2021-02-17,60-69,2397,3016,0
2021-02-18,50-59,6356,7965,0
2021-02-18,30-39,17977,18790,0
2021-02-18,80-89,389,648,0
2021-02-18,0-19,7301,14099,0
2021-02-18,20-29,21874,15697,0
2021-02-18,40-49,11182,17740,0
2021-02-18,70-79,1056,1519,0
2021-02-18,60-69,2880,3071,0
2021-02-18,90+,69,147,0
2021-02-19,50-59,3539,3697,0
2021-02-19,60-69,1486,1347,0
2021-02-19,80-89,188,274,0
2021-02-19,20-29,12692,6229,0
2021-02-19,40-49,6393,9336,0
2021-02-19,70-79,481,611,0
2021-02-19,30-39,10574,10371,0
2021-02-19,90+,25,55,0
2021-02-19,0-19,4227,6179,0
2021-02-20,30-39,7632,8145,0
2021-02-20,70-79,439,395,0
2021-02-20,50-59,2942,2889,0
2021-02-20,0-19,3900,4458,0
2021-02-20,90+,29,21,0
2021-02-20,80-89,161,146,0
2021-02-20,20-29,10152,4055,0
2021-02-20,40-49,5225,7714,0
2021-02-20,60-69,1139,871,0
2021-02-21,40-49,12460,17575,0
2021-02-21,30-39,20597,22692,0
2021-02-21,70-79,1835,1738,0
2021-02-21,50-59,7312,7614,0
2021-02-21,60-69,3808,3245,0
2021-02-21,80-89,767,824,0
2021-02-21,90+,173,212,0
2021-02-21,20-29,23876,14419,0
2021-02-21,0-19,8552,10063,0
2021-02-22,30-39,22740,23541,0
2021-02-22,20-29,25490,18506,0
2021-02-22,0-19,8655,9561,0
2021-02-22,90+,207,245,0
2021-02-22,80-89,879,881,0
2021-02-22,60-69,4179,3227,0
2021-02-22,50-59,7708,7651,0
2021-02-22,70-79,2124,1762,0
2021-02-22,40-49,13006,15162,0
2021-02-23,40-49,11643,13062,0
2021-02-23,50-59,6981,6593,0
2021-02-23,20-29,23947,16275,0
2021-02-23,80-89,848,890,0
2021-02-23,70-79,1861,1699,0
2021-02-23,60-69,3686,2883,0
2021-02-23,0-19,8462,9138,0
2021-02-23,90+,157,229,0
2021-02-23,30-39,19673,19636,0
2021-02-24,0-19,6841,7820,0
2021-02-24,90+,157,195,0
2021-02-24,20-29,18790,15899,0
2021-02-24,70-79,1573,1588,0
2021-02-24,80-89,711,820,0
2021-02-24,40-49,9285,10937,0
2021-02-24,60-69,2958,2707,0
2021-02-24,50-59,5514,5869,0
2021-02-24,30-39,15174,17221,0
2021-02-25,60-69,2660,2312,0
2021-02-25,40-49,8293,10282,0
2021-02-25,50-59,5096,5361,0
2021-02-25,30-39,12924,20721,0
2021-02-25,80-89,624,659,0
2021-02-25,20-29,15278,18350,0
2021-02-25,70-79,1244,1254,0
2021-02-25,90+,142,164,0
2021-02-25,0-19,5398,5622,0
2021-02-26,80-89,291,249,0
2021-02-26,30-39,6705,10559,0
2021-02-26,70-79,537,540,0
2021-02-26,20-29,7511,8686,0
2021-02-26,90+,51,67,0
2021-02-26,60-69,1198,1082,0
2021-02-26,40-49,4294,5331,0
2021-02-26,0-19,2648,2728,0
2021-02-26,50-59,2603,2737,0
2021-02-27,80-89,144,128,0
2021-02-27,40-49,2873,3170,0
2021-02-27,50-59,1728,1605,0
2021-02-27,70-79,344,272,0
2021-02-27,90+,17,34,0
2021-02-27,20-29,5762,6531,0
2021-02-27,30-39,4168,6909,0
2021-02-27,60-69,740,563,0
2021-02-27,0-19,2528,1964,0
2021-02-28,90+,94,170,0
2021-02-28,30-39,9906,17099,0
2021-02-28,70-79,1119,1141,0
2021-02-28,60-69,2161,2081,0
2021-02-28,40-49,6408,8630,0
2021-02-28,50-59,3835,4532,0
2021-02-28,20-29,11387,16638,0
2021-02-28,80-89,543,594,0
2021-02-28,0-19,4840,4950,0
2021-03-01,30-39,11154,18950,0
2021-03-01,50-59,4520,4536,0
2021-03-01,40-49,7150,8185,0
2021-03-01,60-69,2624,2184,0
2021-03-01,0-19,5073,4936,0
2021-03-01,80-89,627,618,0
2021-03-01,20-29,13041,20664,0
2021-03-01,70-79,1344,1166,0
2021-03-01,90+,129,143,0
2021-03-02,0-19,4286,4878,0
2021-03-02,80-89,575,649,0
2021-03-02,20-29,11488,22072,0
2021-03-02,70-79,1439,1209,0
2021-03-02,40-49,6496,9051,0
2021-03-02,90+,121,223,0
2021-03-02,30-39,9511,19087,0
2021-03-02,60-69,2808,2434,0
2021-03-02,50-59,4372,5124,0
2021-03-03,20-29,11600,22784,0
2021-03-03,30-39,9306,19340,0
2021-03-03,60-69,2854,2667,0
2021-03-03,90+,131,182,0
2021-03-03,50-59,4445,5547,0
2021-03-03,80-89,642,620,0
2021-03-03,40-49,6544,9170,0
2021-03-03,0-19,4861,5091,0
2021-03-03,70-79,1549,1312,0
2021-03-04,90+,107,143,0
2021-03-04,50-59,4354,6709,0
2021-03-04,20-29,10931,26512,0
2021-03-04,30-39,9044,22824,0
2021-03-04,80-89,517,638,0
2021-03-04,60-69,2562,3103,0
2021-03-04,0-19,4463,6146,0
2021-03-04,70-79,1227,1419,0
2021-03-04,40-49,6409,11549,0
2021-03-05,20-29,4742,13609,0
2021-03-05,90+,40,64,0
2021-03-05,80-89,207,269,0
2021-03-05,30-39,4044,11749,0
2021-03-05,70-79,498,632,0
2021-03-05,40-49,2954,6198,0
2021-03-05,60-69,1031,1467,0
2021-03-05,50-59,1994,3416,0
2021-03-05,0-19,1770,3012,0
2021-03-06,90+,21,29,0
2021-03-06,60-69,590,939,0
2021-03-06,50-59,1172,2470,0
2021-03-06,20-29,3245,8322,0
2021-03-06,40-49,1692,3954,0
2021-03-06,0-19,1446,2099,0
2021-03-06,70-79,258,353,0
2021-03-06,80-89,79,156,0
2021-03-06,30-39,2155,6999,0
2021-03-07,70-79,1100,1606,0
2021-03-07,0-19,3882,6538,0
2021-03-07,20-29,8771,23084,0
2021-03-07,60-69,2030,3339,0
2021-03-07,50-59,3136,6552,0
2021-03-07,90+,135,131,0
2021-03-07,80-89,532,684,0
2021-03-07,40-49,4767,11082,0
2021-03-07,30-39,6723,19787,0
2021-03-08,70-79,907,1652,0
2021-03-08,40-49,4022,11450,0
2021-03-08,60-69,1640,3570,0
2021-03-08,90+,107,208,0
2021-03-08,80-89,426,773,0
2021-03-08,20-29,8106,22569,0
2021-03-08,0-19,3358,6389,0
2021-03-08,50-59,2755,7072,0
2021-03-08,30-39,5976,19545,0
2021-03-09,0-19,3355,7471,0
2021-03-09,30-39,5860,19882,0
2021-03-09,40-49,4022,11782,0
2021-03-09,80-89,433,766,0
2021-03-09,50-59,2657,7088,0
2021-03-09,20-29,7727,24105,0
2021-03-09,70-79,819,1723,0
2021-03-09,90+,88,168,0
2021-03-09,60-69,1706,3560,0
2021-03-10,70-79,715,1033,0
2021-03-10,80-89,341,422,0
2021-03-10,60-69,1298,2381,0
2021-03-10,20-29,6746,19588,0
2021-03-10,90+,88,94,0
2021-03-10,50-59,2178,5109,0
2021-03-10,30-39,4944,14965,0
2021-03-10,40-49,3474,9034,0
2021-03-10,0-19,3473,5988,0
2021-03-11,90+,74,63,0
2021-03-11,30-39,5257,18398,0
2021-03-11,80-89,324,404,0
2021-03-11,0-19,3109,6908,0
2021-03-11,60-69,1330,2886,0
2021-03-11,40-49,3600,11268,0
2021-03-11,50-59,2211,6333,0
2021-03-11,70-79,599,1074,0
2021-03-11,20-29,6718,21674,0
2021-03-12,70-79,280,482,0
2021-03-12,60-69,564,1515,0
2021-03-12,20-29,3421,13143,0
2021-03-12,0-19,1430,4061,0
2021-03-12,30-39,2563,11309,0
2021-03-12,80-89,113,182,0
2021-03-12,90+,28,20,0
2021-03-12,40-49,1776,6805,0
2021-03-12,50-59,1030,3835,0
2021-03-13,20-29,2556,8206,0
2021-03-13,60-69,334,933,0
2021-03-13,90+,<15,26,0
2021-03-13,70-79,143,338,0
2021-03-13,30-39,1689,6107,0
2021-03-13,80-89,53,148,0
2021-03-13,50-59,718,2352,0
2021-03-13,0-19,1126,2997,0
2021-03-13,40-49,1284,4106,0
2021-03-14,90+,66,141,0
2021-03-14,60-69,1194,3500,0
2021-03-14,40-49,2991,11735,0
2021-03-14,70-79,581,1689,0
2021-03-14,0-19,2982,7361,0
